State_of_Charge,StateofCharge,Voltage,DischargeVoltage,ChargeVoltage,DischargeEnergy
0.778,77.8,4.0998355,4.067001,4.13267,3.628687843
0.78,78,4.1018165,4.068877,4.134756,3.597277843
0.782,78.2,4.1039755,4.071153,4.136798,3.565848843
0.784,78.4,4.106145,4.073243,4.139047,3.534403843
0.786,78.6,4.108369,4.075326,4.141412,3.502945843
0.788,78.8,4.1107535,4.077852,4.143655,3.466221843
0.79,79,4.112598,4.079667,4.145529,3.434723843
0.792,79.2,4.1146945,4.082146,4.147243,3.403213843
0.794,79.4,4.116706,4.083965,4.149447,3.371676843
0.796,79.6,4.1187725,4.08622,4.151325,3.340130843
0.798,79.8,4.1210345,4.088367,4.153702,3.308565843
0.8,80,4.1231395,4.090158,4.156121,3.276983843
0.802,80.2,4.1254135,4.092464,4.158363,3.245389843
0.804,80.4,4.127644,4.094539,4.160749,3.213778843
0.806,80.6,4.1297275,4.09667,4.162785,3.182153843
0.808,80.8,4.1316435,4.098782,4.164505,3.150507843
0.81,81,4.133756,4.100891,4.166621,3.118850843
0.812,81.2,4.1359495,4.103096,4.168803,3.087172843
0.814,81.4,4.138147,4.105277,4.171017,3.055475843
0.816,81.6,4.140359,4.107175,4.173543,3.023762843
0.818,81.8,4.1426825,4.109571,4.175794,2.992034843
0.82,82,4.144793,4.111553,4.178033,2.960295843
0.822,82.2,4.1471825,4.11406,4.180305,2.923236843
0.824,82.4,4.1490715,4.116328,4.181815,2.891459843
0.826,82.6,4.151451,4.11856,4.184342,2.859667843
0.828,82.8,4.153678,4.120629,4.186727,2.827856843
0.83,83,4.155905,4.122948,4.188862,2.796025843
0.832,83.2,4.1580505,4.124895,4.191206,2.764184843
0.834,83.4,4.1603445,4.127085,4.193604,2.732316843
0.836,83.6,4.162613,4.129135,4.196091,2.700438843
0.838,83.8,4.1648955,4.131544,4.198247,2.668544843
0.84,84,4.1668625,4.133765,4.19996,2.636624843
0.842,84.2,4.169022,4.135655,4.202389,2.604691843
0.844,84.4,4.1713365,4.137957,4.204716,2.572742843
0.846,84.6,4.173455,4.13985,4.20706,2.540771843
0.848,84.8,4.1756155,4.142089,4.209142,2.508789843
0.85,85,4.178227,4.144598,4.211856,2.476790843
0.852,85.2,4.1804415,4.146626,4.214257,2.444777843
0.854,85.4,4.182888,4.149033,4.216743,2.407402843
0.856,85.6,4.1848175,4.151368,4.218267,2.375345843
0.858,85.8,4.187064,4.153484,4.220644,2.343275843
0.86,86,4.1894685,4.155692,4.223245,2.311185843
0.862,86.2,4.191784,4.158123,4.225445,2.279079843
0.864,86.4,4.1940165,4.160038,4.227995,2.246962843
0.866,86.6,4.196475,4.162516,4.230434,2.214829843
0.868,86.8,4.198815,4.164612,4.233018,2.182673843
0.87,87,4.201146,4.166816,4.235476,2.150503843
0.872,87.2,4.2029755,4.169186,4.236765,2.118318843
0.874,87.4,4.205262,4.171074,4.23945,2.086118843
0.876,87.6,4.207866,4.173595,4.242137,2.053897843
0.878,87.8,4.21007,4.175544,4.244596,2.021658843
0.88,88,4.212447,4.177887,4.247007,1.989400843
0.882,88.2,4.2149265,4.180279,4.249574,1.957124843
0.884,88.4,4.217008,4.182166,4.25185,1.924832843
0.886,88.6,4.219555,4.184656,4.254454,1.892522843
0.888,88.8,4.22168,4.187297,4.256063,1.854798843
0.89,89,4.2238705,4.189225,4.258516,1.822449843
0.892,89.2,4.226511,4.191776,4.261246,1.790082843
0.894,89.4,4.228699,4.193823,4.263575,1.757702843
0.896,89.6,4.231169,4.196015,4.266323,1.725305843
0.898,89.8,4.2335645,4.198336,4.268793,1.692890843
0.9,90,4.2359005,4.200598,4.271203,1.660459843
0.902,90.2,4.2383905,4.202948,4.273833,1.628008843
0.904,90.4,4.240199,4.204945,4.275453,1.595532843
0.906,90.6,4.2427965,4.207414,4.278179,1.563048843
0.908,90.8,4.245274,4.20972,4.280828,1.530538843
0.91,91,4.2475605,4.21172,4.283401,1.498013843
0.912,91.2,4.250195,4.214252,4.286138,1.465469843
0.914,91.4,4.252403,4.216249,4.288557,1.432914843
0.916,91.6,4.2548915,4.218625,4.291158,1.400345843
